id,address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price
177,7968 Dorinda Ave Las Vegas NV 89147,3,2,1,Condo/Townhome/Row Home/Co-Op,1523,2178,129000
178,1942 Country Cove Ct Las Vegas NV 89135,6,5,1,Single Family Home,3999,8276,998888
179,3400 Cabana Dr Unit 1119 Las Vegas NV 89122,3,2,0,Condo/Townhome/Row Home/Co-Op,1196,,79999
180,3035 Plan Las Vegas NV 89131,4,2,0,Single Family Home; Ready to build,3035,130680,402990
181,Las Vegas NV 89178,2,2,1,Single Family Home,1297,2178,154900
182,1403 S 6Th St Las Vegas NV 89104,3,2,1,Single Family Home,4793,14374.8,139900
183,5055 W Hacienda Av Unit: 1019 Las Vegas NV 89118,1,1,0,Condo/Townhome/Row Home/Co-Op,755,,59500
184,6570 Arrow Creek Ct Las Vegas NV 89156,4,2,1,Single Family Home,2297,6969,206000
185,3059 Regal Cove St Las Vegas NV 89117,5,3,0,Single Family Home,3694,10890,425000
186,2756 Blairgowrie Dr Henderson NV 89044,5,3,1,Single Family Home,2301,5662,280000
187,605 Dolores Dr Las Vegas NV 89107,3,2,0,Single Family Home,1533,4791,142500
188,7736 Villa Andrade Ave Las Vegas NV 89131,5,4,1,Single Family Home,3691,6098,365000
189,7225 Scenic Desert Ct Las Vegas NV 89131,3,2,1,Single Family Home,1525,4356,125000
190,8792 Blue Wolf St Las Vegas NV 89123,3,2,1,Single Family Home,1866,3920,215000
191,1916 Salvation St North Las Vegas NV 89115,3,3,1,Single Family Home,1959,2178,137000
192,9716 Templemore Ave Unit 103 Las Vegas NV 89129,2,2,0,Condo/Townhome/Row Home/Co-Op,1225,,144500
193,10016 Sharp Ridge Ave Las Vegas NV 89149,5,4,0,Single Family Home,3087,5662,309000
194,8025 Caspian Moon Dr Las Vegas NV 89166,4,3,0,Single Family Home,1896,4791,209900
195,4216 Royal Scots Ave Las Vegas NV 89141,5,3,1,Single Family Home,5440,16552.8,799000
196,7330 Bluemist Mountain Ct Las Vegas NV 89113,5,4,1,Single Family Home,4823,13068,559000
197,831 Stonehenge St Las Vegas NV 89110,5,2,1,Single Family Home,1845,7405,189999
198,2675 Niddrie Ave Henderson NV 89044,3,2,1,Single Family Home,2090,5662,215000
199,6515 Shining Sand Ave Las Vegas NV 89142,4,2,0,Single Family Home,1521,5227,170000
200,10425 Bolting Cloud Dr Las Vegas NV 89178,3,3,0,Single Family Home,2022,4356,245000
201,7265 Laredo St Las Vegas NV 89117,6,5,1,Single Family Home,3944,22215.6,598000
202,261 Misty Isle Ln Unit D Las Vegas NV 89107,2,1,1,Condo/Townhome/Row Home/Co-Op,968,,66000
203,923 Royalmile Way Las Vegas NV 89032,3,2,1,Single Family Home,2059,5227,149900
204,3456 Jewel Cave Dr Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1432,4791,49000
205,3111 Bel Air Dr Unit 27 Las Vegas NV 89109,2,2,1,Condo/Townhome/Row Home/Co-Op,1856,,599000
206,9348 Pinnacle Cove St Las Vegas NV 89123,3,2,1,Single Family Home,2961,10454.4,324888
207,6417 Salmon Mountain Ave Las Vegas NV 89122,3,2,0,Single Family Home,1424,3049,159000
208,2071 Via Firenze Henderson NV 89044,3,2,1,Condo/Townhome/Row Home/Co-Op,1445,2178,195000
209,7521 Dry Pines Cir Las Vegas NV 89129,3,2,1,Single Family Home,2582,10890,335900
210,2012 Gray Eagle Way Las Vegas NV 89117,3,4,1,Single Family Home,4045,12196.8,949000
211,3053 Casey Dr Unit: 201 Las Vegas NV 89120,1,1,0,Condo/Townhome/Row Home/Co-Op,697,1829,39900
212,225 Grandfalls Bluff Ave Las Vegas NV 89031,5,2,1,Single Family Home,2793,4356,214750
213,6423 Swan Song Rd Las Vegas NV 89142,5,4,0,Single Family Home,2454,6098,225000
214,Las Vegas NV 89117,4,3,0,Single Family Home,2723,22651.2,519000
215,5116 Jordan Frey St Unit 204 Las Vegas NV 89130,2,2,0,Condo/Townhome/Row Home/Co-Op,1259,,85000
216,5880 Bunch St Las Vegas NV 89122,8,4,0,Single Family Home,4265,35283.6,229000
217,300 Pinecliff Dr Las Vegas NV 89145,3,2,0,Single Family Home,1617,8276,120000
218,10324 Summit Canyon Dr Las Vegas NV 89144,4,5,1,Single Family Home,5445,17859.6,880000
219,4236 Orangeblossom Ct Las Vegas NV 89108,3,2,0,Mfd/Mobile Home,1716,7405,79500
220,4561 Sandirose Way Las Vegas NV 89122,3,2,0,Mfd/Mobile Home,1296,4791,59000
221,5274 Tipper Ave Las Vegas NV 89122,3,2,1,Single Family Home,1374,1742,134900
222,6273 Enchanted Creek Pl Las Vegas NV 89122,5,3,0,Single Family Home,2315,5662,214990
223,27 E Agate Av Unit: 208 Las Vegas NV 89123,2,2,0,Condo/Townhome/Row Home/Co-Op,1165,,157040
224,2777 Paradise Rd Unit 3406 Las Vegas NV 89109,2,2,0,Condo/Townhome/Row Home/Co-Op,1712,,750000
225,6923 China Ridge Ct Las Vegas NV 89149,4,2,1,Single Family Home,2324,10018.8,270000
226,556 Staghorn Pass Ave Las Vegas NV 89183,5,3,0,Single Family Home,3272,5662,265000
227,8861 Red Fox Dr Las Vegas NV 89123,4,3,0,Single Family Home,2384,4356,160000
228,Las Vegas NV 89119,2,1,0,Condo/Townhome/Row Home/Co-Op,980,,65000
229,1704 Navajo Lake Way Las Vegas NV 89128,3,2,0,Single Family Home,1322,4791,140000
230,6955 N Durango Dr Unit 2005 Las Vegas NV 89149,2,2,0,Condo/Townhome/Row Home/Co-Op,1247,,88000
231,5322 Taravilla Cir Las Vegas NV 89146,2,2,0,Condo/Townhome/Row Home/Co-Op,2769,6534,145000
232,686 Running Putt Way Las Vegas NV 89148,3,2,1,Single Family Home,2191,5227,375000
233,1141 Nevada Sky St Las Vegas NV 89128,3,2,1,Condo/Townhome/Row Home/Co-Op,1320,871,105000
234,8867 Canyon Saddle St Las Vegas NV 89148,5,4,0,Single Family Home,3141,3484,314999
235,Las Vegas NV 89147,3,2,0,Single Family Home,1461,5227,182500
236,2900 Morning Dew St Las Vegas NV 89117,4,3,0,Single Family Home,2238,6969,359500
237,2000 Fashion Show Dr Unit: 4721 Las Vegas NV 89109,1,2,0,Condo/Townhome/Row Home/Co-Op,910,,525000
238,10122 Ragdoll Ave Las Vegas NV 89166,4,2,1,Single Family Home,2239,3484,250000
239,7417 Via Rimini St Las Vegas NV 89131,5,4,1,Single Family Home,5114,21780,607500
240,65 Meadowhawk Ln Las Vegas NV 89135,5,5,3,Single Family Home,9602,13939.2,3499000
241,8265 Wildwood Glen Dr Las Vegas NV 89131,4,2,1,Single Family Home,1957,2613,220000
242,673 Kew Gardens Dr Las Vegas NV 89178,4,2,1,Single Family Home,2728,7840,368000
243,816 Hedge Way Unit 3 Las Vegas NV 89110,2,1,0,Condo/Townhome/Row Home/Co-Op,785,,65000
244,9342 Autumn View Ave Las Vegas NV 89178,3,3,0,Single Family Home,1582,1742,185000
245,Las Vegas NV 89120,4,3,0,Single Family Home,3524,17424,489000
246,10669 Oak Crest Ave Las Vegas NV 89144,3,2,0,Single Family Home,1622,5662,240000
247,7300 W Pirates Cove Rd Unit: 2056 Las Vegas NV 89145,1,1,0,Condo/Townhome/Row Home/Co-Op,636,,65000
248,1355 Wind Cove St Las Vegas NV 89110,4,3,0,Single Family Home,2390,6534,247388
249,11762 Pine Shadows St Las Vegas NV 89183,5,2,1,Single Family Home,2014,3484,250000
250,8609 Surtidor Dr Las Vegas NV 89117,4,3,0,Single Family Home,2430,13939.2,224900
251,7908 Ben Hogan Dr Las Vegas NV 89149,2,2,0,Single Family Home,1609,5749,244900
252,3020 Stern Dr Las Vegas NV 89117,5,3,0,Single Family Home,3557,7840,380000
253,4525 Dean Martin Dr Unit 3003 Las Vegas NV 89103,2,2,0,Condo/Townhome/Row Home/Co-Op,1085,,389000
254,2336 Panisse Ave Henderson NV 89044,5,5,1,Single Family Home,4048,8712,855000
255,North Las Vegas NV 89131,2,2,0,Condo/Townhome/Row Home/Co-Op,999,3049,118900
256,4584 Inland Ct Las Vegas NV 89147,4,2,1,Single Family Home,1762,6969,199900
257,5934 Rothbury Ave Las Vegas NV 89141,4,3,0,Single Family Home,3078,6316,315000
258,Sandpiper Las Vegas NV 89115,3,2,0,Multi-Family Home; Ready to build,1428,87120,143888
259,6165 Duncan Dr Las Vegas NV 89108,6,3,0,Single Family Home,3023,20037.6,350000
260,3046 Tarpon Dr Unit 104 Las Vegas NV 89120,2,2,0,Condo/Townhome/Row Home/Co-Op,1020,1698,87000
